topic,publication_count,percentage
Conflict of Laws and Jurisdiction,5,0.01
Authorship Attribution and Profiling,5,0.01
Graph theory and applications,5,0.01
Metal-Catalyzed Oxygenation Mechanisms,5,0.01
Metalloenzymes and iron-sulfur proteins,5,0.01
Metallurgical Processes and Thermodynamics,5,0.01
Global Health and Epidemiology,5,0.01
"Historical Studies on Reproduction, Gender, Health, and Societal Changes",5,0.01
Plant Taxonomy and Phylogenetics,5,0.01
Piperaceae Chemical and Biological Studies,5,0.01
Jewish and Middle Eastern Studies,5,0.01
Plant pathogens and resistance mechanisms,5,0.01
Plasma Diagnostics and Applications,5,0.01
Advanced MEMS and NEMS Technologies,5,0.01
Advanced Database Systems and Queries,5,0.01
Advanced Differential Geometry Research,5,0.01
Advanced Energy Technologies and Civil Engineering Innovations,5,0.01
"Fish biology, ecology, and behavior",5,0.01
Service-Learning and Community Engagement,5,0.01
Service-Oriented Architecture and Web Services,5,0.01
Seventeenth-Century Political and Philosophical Thought,5,0.01
"Shakespeare, Adaptation, and Literary Criticism",5,0.01
Wireless Networks and Protocols,5,0.01
Yeasts and Rust Fungi Studies,5,0.01
Advanced Control Systems Design,5,0.01
Actinomycetales infections and treatment,5,0.01
Advanced Computational Techniques and Applications,4,0.01
ERP Systems Implementation and Impact,4,0.01
Wind Turbine Control Systems,4,0.01
Access Control and Trust,4,0.01
Sex work and related issues,4,0.01
Flow Experience in Various Fields,4,0.01
Network Traffic and Congestion Control,4,0.01
Advanced Combinatorial Mathematics,4,0.01
Advanced Differential Equations and Dynamical Systems,4,0.01
Advanced Mathematical Theories and Applications,4,0.01
Policing Practices and Perceptions,4,0.01
Plant-Derived Bioactive Compounds,4,0.01
Workplace Spirituality and Leadership,4,0.01
Global Healthcare and Medical Tourism,4,0.01
Metallurgical and Alloy Processes,4,0.01
Automotive and Human Injury Biomechanics,4,0.01
Astronomical Observations and Instrumentation,4,0.01
Asian Culture and Media Studies,4,0.01
Globalization and political ideologies,4,0.01
"Global trade, sustainability, and social impact",4,0.01
Grey System Theory Applications,4,0.01
Real-time simulation and control systems,4,0.01
Organizational Learning and Leadership,4,0.01
Memory Processes and Influences,4,0.01
Mediterranean and Iberian flora and fauna,4,0.01
Halal products and consumer behavior,4,0.01
Mineralogy and Gemology Studies,4,0.01
Australian History and Society,4,0.01
Structural Analysis of Composite Materials,4,0.01
Strategic Planning and Analysis,4,0.01
Religious Studies and Spiritual Practices,4,0.01
Optimization and Packing Problems,4,0.01
English Language Learning and Teaching,4,0.01
Optical Systems and Laser Technology,4,0.01
Hair Growth and Disorders,4,0.01
Art History and Market Analysis,4,0.01
Arctic and Russian Policy Studies,4,0.01
Radiative Heat Transfer Studies,4,0.01
"Crafts, Textile, and Design",4,0.01
Elite Sociology and Global Capitalism,4,0.01
Orthopedic Surgery and Rehabilitation,4,0.01
Orthodontics and Dentofacial Orthopedics,4,0.01
RFID technology advancements,4,0.01
"Legal, Health, Environmental and COVID-19 Challenges",4,0.01
"Tannin, Tannase and Anticancer Activities",4,0.01
T-cell and Retrovirus Studies,4,0.01
Critical and Liberation Pedagogy,4,0.01
"Cultural, Media, and Literary Studies",4,0.01
Laser Design and Applications,4,0.01
"Language, Linguistics, Cultural Analysis",4,0.01
Landfill Environmental Impact Studies,4,0.01
Palliative and Oncologic Care,4,0.01
Cultural Heritage Materials Analysis,4,0.01
Culinary Culture and Tourism,4,0.01
Occupational Therapy Practice and Research,4,0.01
Comparative constitutional jurisprudence studies,4,0.01
State Capitalism and Financial Governance,4,0.01
"Sports, Gender, and Society",4,0.01
Benford’s Law and Fraud Detection,4,0.01
Banana Cultivation and Research,4,0.01
Minimally Invasive Surgical Techniques,4,0.01
Minerals Flotation and Separation Techniques,4,0.01
Crystallography and Radiation Phenomena,4,0.01
Quality Function Deployment in Product Design,4,0.01
Cybersecurity and Cyber Warfare Studies,4,0.01
Particle Accelerators and Free-Electron Lasers,4,0.01
Parasitic Infections and Diagnostics,4,0.01
Electromagnetic Simulation and Numerical Methods,4,0.01
Electromagnetic Scattering and Analysis,4,0.01
Electromagnetic Fields and Biological Effects,4,0.01
Aldose Reductase and Taurine,4,0.01
American and British Literature Analysis,4,0.01
Medical Education and Admissions,4,0.01
American Environmental and Regional History,4,0.01
Burkholderia infections and melioidosis,4,0.01
Hypothalamic control of reproductive hormones,4,0.01
Restraint-Related Deaths,4,0.01
Block Copolymer Self-Assembly,4,0.01
German Literature and Culture Studies,4,0.01
Geotechnical and construction materials studies,4,0.01
Geotechnical Engineering and Soil Stabilization,4,0.01
Space exploration and regulation,4,0.01
Public Health and Nutrition,4,0.01
Public Health and Environmental Issues,4,0.01
Public Administration in Developing Nations,4,0.01
Patient Dignity and Privacy,4,0.01
Electrical and Electromagnetic Research,4,0.01
Elasticity and Wave Propagation,4,0.01
Particle Dynamics in Fluid Flows,4,0.01
"Psychology, Coaching, and Therapy",4,0.01
Sociopolitical Dynamics in Nepal,4,0.01
Socio-political and Technological Issues,4,0.01
Rhetoric and Communication Studies,4,0.01
Rheology and Fluid Dynamics Studies,4,0.01
Ethics and Legal Issues in Pediatric Healthcare,4,0.01
European history and politics,4,0.01
Solidification and crystal growth phenomena,4,0.01
"Botany, Ecology, and Taxonomy Studies",4,0.01
Solar Energy Systems and Technologies,4,0.01
Peer-to-Peer Network Technologies,4,0.01
Decision Support System Applications,4,0.01
Deception detection and forensic psychology,4,0.01
Psychoanalysis and Psychopathology Research,4,0.01
Psidium guajava Extracts and Applications,4,0.01
Dermatological diseases and infestations,4,0.01
Educational Methods and Analysis,4,0.01
Persona Design and Applications,4,0.01
Hydraulic and Pneumatic Systems,4,0.01
International Arbitration and Investment Law,4,0.01
Interdisciplinary Cultural and Social Studies,4,0.01
Intellectual Property and Patents,4,0.01
"Media, Communication, and Education",4,0.01
Health and Medical Studies,4,0.01
Algebraic and Geometric Analysis,4,0.01
Agricultural safety and regulations,4,0.01
Genetics and Physical Performance,4,0.01
Genetic and Environmental Crop Studies,4,0.01
Russia and Soviet political economy,4,0.01
Rural development and sustainability,4,0.01
Law and Political Science,4,0.01
Homotopy and Cohomology in Algebraic Topology,4,0.01
Cognitive Radio Networks and Spectrum Sensing,4,0.01
Geological and Geophysical Studies,4,0.01
Geological Modeling and Analysis,4,0.01
Legal and Constitutional Studies,4,0.01
Legal Education and Practice Innovations,4,0.01
Soft tissue tumor case studies,4,0.01
Mechanical Failure Analysis and Simulation,4,0.01
Indian History and Philosophy,4,0.01
Digital Humanities and Scholarship,4,0.01
Diffusion and Search Dynamics,4,0.01
Pragmatism in Philosophy and Education,4,0.01
Pharmacy and Medical Practices,4,0.01
Mathematical and Theoretical Analysis,4,0.01
Slime Mold and Myxomycetes Research,4,0.01
Garlic and Onion Studies,4,0.01
Numerical Methods and Algorithms,4,0.01
Nuclear and radioactivity studies,4,0.01
"Nietzsche, Schopenhauer, and Hegel",4,0.01
Social Power and Status Dynamics,4,0.01
Capital Investment and Risk Analysis,4,0.01
Cancer and biochemical research,4,0.01
Muon and positron interactions and applications,4,0.01
Multimedia Communication and Technology,4,0.01
African history and culture studies,4,0.01
African history and culture analysis,4,0.01
Digital Transformation in Law,4,0.01
Digital Storytelling and Education,4,0.01
Digital Media and Philosophy,4,0.01
Education Systems and Policies,4,0.01
High voltage insulation and dielectric phenomena,4,0.01
Aerodynamics and Fluid Dynamics Research,4,0.01
Agricultural Science and Fertilization,4,0.01
Intravenous Infusion Technology and Safety,4,0.01
Intraoperative Neuromonitoring and Anesthetic Effects,4,0.01
Intramuscular injections and effects,4,0.01
Frequency Control in Power Systems,4,0.01
Catalytic Alkyne Reactions,4,0.01
Maritime and Coastal Archaeology,4,0.01
Aerospace Engineering and Energy Systems,4,0.01
Hernia repair and management,4,0.01
Hemoglobin structure and function,4,0.01
Male Breast Health Studies,4,0.01
Educational Environments and Student Outcomes,4,0.01
Vascular Malformations and Hemangiomas,4,0.01
"Utopian, Dystopian, and Speculative Fiction",4,0.01
Advancements in Photolithography Techniques,4,0.01
Network Packet Processing and Optimization,4,0.01
Nausea and vomiting management,4,0.01
Fern and Epiphyte Biology,4,0.01
Feminist Epistemology and Gender Studies,4,0.01
China's Socioeconomic Reforms and Governance,4,0.01
Child Welfare and Adoption,4,0.01
Cerebral Venous Sinus Thrombosis,4,0.01
Chemical Safety and Risk Management,4,0.01
Chemical Reaction Mechanisms,4,0.01
Ship Hydrodynamics and Maneuverability,4,0.01
Fluid Dynamics and Thin Films,4,0.01
Historical Economic and Social Studies,4,0.01
Pomegranate: compositions and health benefits,4,0.01
Phytochemicals and Medicinal Plants,4,0.01
Phytochemical and Pharmacological Studies,4,0.01
Education Methods and Practices,4,0.01
Political Theory and Influence,4,0.01
Low-power high-performance VLSI design,4,0.01
Veterinary medicine and infectious diseases,4,0.01
Linguistics and language evolution,4,0.01
Advanced Technology in Applications,4,0.01
Vehicle Dynamics and Control Systems,4,0.01
14-3-3 protein interactions,4,0.01
Innovations in Educational Methods,4,0.01
semigroups and automata theory,4,0.01
Induction Heating and Inverter Technology,4,0.01
3D IC and TSV technologies,3,0.01
Wildlife Conservation and Criminology Analyses,3,0.01
Historical Psychiatry and Medical Practices,3,0.01
Wikis in Education and Collaboration,3,0.01
Advanced Computing and Algorithms,3,0.01
Hospitality and Tourism Education,3,0.01
Echinoderm biology and ecology,3,0.01
Walter Benjamin Studies Compilation,3,0.01
Visual Culture and Art Theory,3,0.01
Historical and Linguistic Studies,3,0.01
Historical and Architectural Studies,3,0.01
Advanced Software Engineering Methodologies,3,0.01
Vietnamese History and Culture Studies,3,0.01
Linguistics and Education Research,3,0.01
Veterinary Pharmacology and Anesthesia,3,0.01
Advanced Synthetic Organic Chemistry,3,0.01
Vehicle Noise and Vibration Control,3,0.01
Vascular anomalies and interventions,3,0.01
Vascular Malformations Diagnosis and Treatment,3,0.01
Hibiscus Plant Research Studies,3,0.01
Poetry Analysis and Criticism,3,0.01
"Pneumothorax, Barotrauma, Emphysema",3,0.01
Drug-Induced Ocular Toxicity,3,0.01
Advanced Wireless Network Optimization,3,0.01
African Sexualities and LGBTQ+ Issues,3,0.01
Aerospace Engineering and Control Systems,3,0.01
Hermeneutics and Narrative Identity,3,0.01
Management and Marketing Education,3,0.01
Male Reproductive Health Studies,3,0.01
Agricultural and Environmental Management,3,0.01
Maritime Ports and Logistics,3,0.01
Maritime Navigation and Safety,3,0.01
Mangiferin and Mango Extracts,3,0.01
Mathematical Inequalities and Applications,3,0.01
Political Systems and Governance,3,0.01
Political Science Research and Education,3,0.01
Down syndrome and intellectual disability research,3,0.01
Diverticular Disease and Complications,3,0.01
Diversity and Impact of Dance,3,0.01
Turfgrass Adaptation and Management,3,0.01
Tunneling and Rock Mechanics,3,0.01
"Agriculture, Water, and Health",3,0.01
"Mathematics, Computing, and Information Processing",3,0.01
Healthcare innovation and challenges,3,0.01
Healthcare Systems and Practices,3,0.01
"Intelligence, Security, War Strategy",3,0.01
"Media, Gender, and Advertising",3,0.01
Healthcare Operations and Scheduling Optimization,3,0.01
"Health, Nursing, Elderly Care",3,0.01
Mechanisms of cancer metastasis,3,0.01
Mechanical stress and fatigue analysis,3,0.01
Porphyrin Metabolism and Disorders,3,0.01
Polymer Science and PVC,3,0.01
Economic Growth and Fiscal Policies,3,0.01
Diverse Applied Research Studies,3,0.01
Discrimination and Equality Law,3,0.01
Amoebic Infections and Treatments,3,0.01
Medical Research and Practices,3,0.01
Thermodynamic and Structural Properties of Metals and Alloys,3,0.01
Andrographolide Research and Applications,3,0.01
Textile materials and evaluations,3,0.01
Telecommunications and Broadcasting Technologies,3,0.01
Leptospirosis research and findings,3,0.01
Legal principles and applications,3,0.01
Medicinal plant effects and applications,3,0.01
"Antioxidants, Aging, Portulaca oleracea",3,0.01
Ectopic Pregnancy Diagnosis and Management,3,0.01
Education and Public Policy,3,0.01
Archaeology and Historical Studies,3,0.01
Archaeological Research and Protection,3,0.01
Aquatic life and conservation,3,0.01
Synthesis and characterization of novel inorganic/organometallic compounds,3,0.01
Melamine detection and toxicity,3,0.01
Artificial Intelligence Applications,3,0.01
"Art, Technology, and Culture",3,0.01
Sustainable Design and Development,3,0.01
Sustainable Agricultural Systems Analysis,3,0.01
Survey Sampling and Estimation Techniques,3,0.01
Asian Geopolitics and Ethnography,3,0.01
Sugarcane Cultivation and Processing,3,0.01
Glycogen Storage Diseases and Myoclonus,3,0.01
Merger and Competition Analysis,3,0.01
"Digitalization, Law, and Regulation",3,0.01
Digitalization and Economic Development in Agriculture,3,0.01
Graph Labeling and Dimension Problems,3,0.01
Structural mechanics and materials,3,0.01
Structural Response to Dynamic Loads,3,0.01
Microbial Applications in Construction Materials,3,0.01
Statistical and Computational Modeling,3,0.01
"Stalking, Cyberstalking, and Harassment",3,0.01
Spinal Fractures and Fixation Techniques,3,0.01
Mining Techniques and Economics,3,0.01
"Migration, Aging, and Tourism Studies",3,0.01
Biological and pharmacological studies of plants,3,0.01
Spectral Theory in Mathematical Physics,3,0.01
Bird parasitology and diseases,3,0.01
Bone Tumor Diagnosis and Treatments,3,0.01
Modernist Literature and Criticism,3,0.01
Mining and Resource Management,3,0.01
Geotechnical Engineering and Soil Mechanics,3,0.01
Product Development and Customization,3,0.01
Probability and Risk Models,3,0.01
Educational Assessment and Improvement,3,0.01
Solid State Laser Technologies,3,0.01
Molten salt chemistry and electrochemical processes,3,0.01
Geometric and Algebraic Topology,3,0.01
Leadership and Management in Organizations,3,0.01
Sociology and Norbert Elias,3,0.01
Byzantine Studies and History,3,0.01
Cancer and Skin Lesions,3,0.01
Multicomponent Synthesis of Heterocycles,3,0.01
Social Issues and Policies in Latin America,3,0.01
Skin Diseases and Diabetes,3,0.01
Silymarin and Mushroom Poisoning,3,0.01
Fungal Plant Pathogen Control,3,0.01
Educational Reforms and Innovations,3,0.01
Pharmacological Effects and Assays,3,0.01
Personal Information Management and User Behavior,3,0.01
Italian Fascism and Post-war Society,3,0.01
Music Technology and Sound Studies,3,0.01
Museums and Cultural Heritage,3,0.01
Musculoskeletal synovial abnormalities and treatments,3,0.01
Invertebrate Taxonomy and Ecology,3,0.01
Invertebrate Immune Response Mechanisms,3,0.01
Intuitionistic Fuzzy Systems Applications,3,0.01
Intraocular Surgery and Lenses,3,0.01
International Student and Expatriate Challenges,3,0.01
Free Will and Agency,3,0.01
Census and Population Estimation,3,0.01
Chemical Reactions and Mechanisms,3,0.01
Food Chemistry and Fat Analysis,3,0.01
"Forest, Soil, and Plant Ecology in China",3,0.01
Educational Theory and Curriculum Studies,3,0.01
Dental Trauma and Treatments,3,0.01
Iterative Learning Control Systems,3,0.01
Child Development and Education,3,0.01
Chemistry Education and Research,3,0.01
Fire effects on concrete materials,3,0.01
Field-Flow Fractionation Techniques,3,0.01
Sensorless Control of Electric Motors,3,0.01
Children's Rights and Participation,3,0.01
Neurology and Historical Studies,3,0.01
Cocoa and Sweet Potato Agronomy,3,0.01
Coal Combustion and Slurry Processing,3,0.01
Coaching Methods and Impact,3,0.01
Science Education and Perceptions,3,0.01
Public Health in Brazil,3,0.01
Peacebuilding and International Security,3,0.01
Electrical Contact Performance and Analysis,3,0.01
Psychological and Educational Research Studies,3,0.01
Dengue and Mosquito Control Research,3,0.01
Nonprofit Sector and Volunteering,3,0.01
Nigella sativa pharmacological applications,3,0.01
Extremum Seeking Control Systems,3,0.01
Safe Handling of Antineoplastic Drugs,3,0.01
STEM Education,3,0.01
Colonial History and Postcolonial Studies,3,0.01
History of Science and Medicine,3,0.01
Robotic Process Automation Applications,3,0.01
Risk and Portfolio Optimization,3,0.01
European Criminal Justice and Data Protection,3,0.01
Evaluation Methods in Various Fields,3,0.01
Irish and British Studies,3,0.01
Error Correcting Code Techniques,3,0.01
Occupational exposure and asthma,3,0.01
Parasitic infections in humans and animals,3,0.01
Publishing and Scholarly Communication,3,0.01
Nuts composition and effects,3,0.01
Communication and COVID-19 Impact,3,0.01
"Oil, Gas, and Environmental Issues",3,0.01
Ocular and Laser Science Research,3,0.01
Commutative Algebra and Its Applications,3,0.01
Renaissance Literature and Culture,3,0.01
Religious Tourism and Spaces,3,0.01
Conflict Management and Negotiation,3,0.01
Optimization and Variational Analysis,3,0.01
Conservation Techniques and Studies,3,0.01
"Religion, Theology, and Education",3,0.01
History of Computing Technologies,3,0.01
Cuban History and Society,3,0.01
Engineering Technology and Methodologies,3,0.01
Engineering Structural Analysis Methods,3,0.01
Organic Chemistry Cycloaddition Reactions,3,0.01
Copper Interconnects and Reliability,3,0.01
Coordination Chemistry and Organometallics,3,0.01
Employer Branding and e-HRM,3,0.01
Organometallic Compounds Synthesis and Characterization,3,0.01
"Crime, Deviance, and Social Control",3,0.01
Osteomyelitis and Bone Disorders Research,3,0.01
Abdominal vascular conditions and treatments,3,0.01
Inertial Sensor and Navigation,3,0.01
Advanced Authentication Protocols Security,3,0.01
Advanced Algebra and Geometry,3,0.01
"Adsorption, diffusion, and thermodynamic properties of materials",3,0.01
graph theory and CDMA systems,3,0.01
Jungian Analytical Psychology,2,0.0
Jury Decision Making Processes,2,0.0
Advanced Computational Techniques in Science and Engineering,2,0.0
"Weber, Simmel, Sociological Theory",2,0.0
Whitehead's Philosophy and Applications,2,0.0
Writing and Handwriting Education,2,0.0
"Literature, Culture, and Criticism",2,0.0
Historical Medical Research and Treatments,2,0.0
Historical and Archaeological Studies,2,0.0
Innovative Education and Learning Practices,2,0.0
AI and Big Data Applications,2,0.0
dental development and anomalies,2,0.0
Industrial Automation and Control Systems,2,0.0
Industrial Engineering and Technologies,2,0.0
Youth Substance Use and School Attendance,2,0.0
Ziziphus Jujuba Studies and Applications,2,0.0
Cross-Border Cooperation and Integration,2,0.0
Cruise Tourism Development and Management,2,0.0
Corporate Management and Leadership,2,0.0
Outdoor and Experiential Education,2,0.0
Electrostatic Discharge in Electronics,2,0.0
Elevator Systems and Control,2,0.0
Embedded Systems Design Techniques,2,0.0
Pacific and Southeast Asian Studies,2,0.0
Paleontology and Evolutionary Biology,2,0.0
Craniofacial Disorders and Treatments,2,0.0
Radiation Effects and Dosimetry,2,0.0
Radio Frequency Integrated Circuit Design,2,0.0
Radioactive contamination and transfer,2,0.0
Historical and Religious Studies of Rome,2,0.0
Waste Management and Recycling,2,0.0
Advanced Mathematical Physics Problems,2,0.0
Advanced Graph Theory Research,2,0.0
Organizational Management and Leadership,2,0.0
Organophosphorus compounds synthesis,2,0.0
Employee Performance and Leadership,2,0.0
Random Matrices and Applications,2,0.0
Real-Time Systems Scheduling,2,0.0
Regional Development and Environment,2,0.0
Regional Economic and Spatial Analysis,2,0.0
Veterinary Orthopedics and Neurology,2,0.0
Linguistics and Cultural Studies,2,0.0
Linguistics and Discourse Analysis,2,0.0
Linguistics and Language Analysis,2,0.0
Diverse Philosophical and Cultural Studies,2,0.0
Values and Moral Education,2,0.0
Vanadium and Halogenation Chemistry,2,0.0
Various Academic Research Studies,2,0.0
Vascular Anomalies and Treatments,2,0.0
Venomous Animal Envenomation and Studies,2,0.0
Advanced Theoretical and Applied Studies in Material Sciences and Geometry,2,0.0
Veterinary Oncology Research,2,0.0
Contact Mechanics and Variational Inequalities,2,0.0
Contemporary Literature and Criticism,2,0.0
Engineering Education and Curriculum Development,2,0.0
Engineering Education and Pedagogy,2,0.0
Historical Geography and Geographical Thought,2,0.0
Historical Geopolitical and Social Dynamics,2,0.0
Historical Legal Studies and Society,2,0.0
Kantian Philosophy and Modern Interpretations,2,0.0
Karst Systems and Hydrogeology,2,0.0
Plant chemical constituents analysis,2,0.0
Plant-derived Lignans Synthesis and Bioactivity,2,0.0
Point processes and geometric inequalities,2,0.0
Diverse Industrial Engineering Technologies,2,0.0
Diverse Musicological Studies,2,0.0
Cyclone Separators and Fluid Dynamics,2,0.0
Quality of Life Measurement,2,0.0
Knowledge Management in Higher Education,2,0.0
"Language, Communication, and Linguistic Studies",2,0.0
Ultra-Wideband Communications Technology,2,0.0
Aerodynamics and Acoustics in Jet Flows,2,0.0
Magneto-Optical Properties and Applications,2,0.0
"Management, Economics, and Public Policy",2,0.0
African Education and Politics,2,0.0
Urban Planning and Landscape Design,2,0.0
Advanced optical system design,2,0.0
Historical Art and Culture Studies,2,0.0
Turtle Biology and Conservation,2,0.0
Marriage and Sexual Relationships,2,0.0
Material Properties and Failure Mechanisms,2,0.0
Mathematical Control Systems and Analysis,2,0.0
Marine Toxins and Detection Methods,2,0.0
Optics and Image Analysis,2,0.0
Community-based Tourism Development and Sustainability,2,0.0
Transportation Systems and Logistics,2,0.0
Tribology and Lubrication Engineering,2,0.0
Diverse Scientific and Engineering Research,2,0.0
Doctoral Education Challenges and Solutions,2,0.0
Political and Social Issues,2,0.0
"Politics, Economics, and Education Policy",2,0.0
Indian and Buddhist Studies,2,0.0
Mathematical functions and polynomials,2,0.0
Mathematics Education and Programs,2,0.0
Transactional Analysis in Psychotherapy,2,0.0
Agricultural and Food Production Studies,2,0.0
Agriculture Market Analysis Ukraine,2,0.0
Agriculture and Biological Studies,2,0.0
Agriculture and Farm Safety,2,0.0
Transport and Economic Policies,2,0.0
Ophthalmology and Visual Health Research,2,0.0
Environmental Policies and Emissions,2,0.0
Environmental Quality and Pollution,2,0.0
Environmental Science and Technology,2,0.0
Environmental Sustainability and Education,2,0.0
Competency Development and Evaluation,2,0.0
"Research, Science, and Academia",2,0.0
"Commonwealth, Australian Politics and Federalism",2,0.0
Communication Studies and Media,2,0.0
Air Traffic Management and Optimization,2,0.0
Alkaline Phosphatase Research Studies,2,0.0
Mechanics and Biomechanics Studies,2,0.0
"Health, Medicine and Society",2,0.0
Healthcare Quality and Management,2,0.0
Insects and Parasite Interactions,2,0.0
Interconnection Networks and Systems,2,0.0
Inclusion and Disability in Education and Sport,2,0.0
Nursing care and research,2,0.0
"Nutrition, Health and Food Behavior",2,0.0
Occupational Health and Burnout,2,0.0
Occupational Health and Safety Management,2,0.0
Public Procurement and Policy,2,0.0
Public Spaces through Art,2,0.0
Electrical and Thermal Properties of Materials,2,0.0
Paraoxonase enzyme and polymorphisms,2,0.0
Medicinal Plant Pharmacodynamics Research,2,0.0
Medicinal Plant Research,2,0.0
American Literature and Culture,2,0.0
American Political and Social Dynamics,2,0.0
Phytochemistry Medicinal Plant Applications,2,0.0
Phytochemistry and biological activity of medicinal plants,2,0.0
"Ecology, Conservation, and Geographical Studies",2,0.0
Economic Issues in Ukraine,2,0.0
Diverse Education and Engineering Focus,2,0.0
Paraquat toxicity studies and treatments,2,0.0
Erosion and Abrasive Machining,2,0.0
"IPv6, Mobility, Handover, Networks, Security",2,0.0
"Law, Rights, and Freedoms",2,0.0
"Nursing Education, Practice, and Leadership",2,0.0
"Rings, Modules, and Algebras",2,0.0
Ancient Egypt and Archaeology,2,0.0
Ancient Near East History,2,0.0
Medical History and Innovations,2,0.0
Medical History and Research,2,0.0
Legal and cultural studies analysis,2,0.0
Libraries and Information Services,2,0.0
Library Science and Information Systems,2,0.0
Lightning and Electromagnetic Phenomena,2,0.0
Limits and Structures in Graph Theory,2,0.0
"Terrorism, Counterterrorism, and Political Violence",2,0.0
Testicular diseases and treatments,2,0.0
Animal Diversity and Health Studies,2,0.0
Thermodynamic properties of mixtures,2,0.0
History of Medicine Studies,2,0.0
"History, Culture, and Society",2,0.0
Hops Chemistry and Applications,2,0.0
Cold Fusion and Nuclear Reactions,2,0.0
"Architecture, Modernity, and Design",2,0.0
Aquatic Ecosystems and Biodiversity,2,0.0
Medicine and Dermatology Studies History,2,0.0
Postmodernism in Literature and Education,2,0.0
Powder Metallurgy Techniques and Materials,2,0.0
Physical Education and Gymnastics,2,0.0
Physics and Engineering Research Articles,2,0.0
Economic and Social Development,2,0.0
Edible Oils Quality and Analysis,2,0.0
Nonlinear Partial Differential Equations,2,0.0
Pelvic and Acetabular Injuries,2,0.0
Pasture and Agricultural Systems,2,0.0
Pathogenesis and Treatment of Hiccups,2,0.0
Nuclear Issues and Defense,2,0.0
Synthesis and Biological Activity,2,0.0
Synthesis and Reactions of Organic Compounds,2,0.0
Synthesis and bioactivity of alkaloids,2,0.0
Synthesis of Tetrazole Derivatives,2,0.0
Synthesis of β-Lactam Compounds,2,0.0
Systems Engineering Methodologies and Applications,2,0.0
European Political History Analysis,2,0.0
Facial Rejuvenation and Surgery Techniques,2,0.0
Fashion and Cultural Textiles,2,0.0
Scientific Research and Philosophical Inquiry,2,0.0
Sustainability and Innovation in Business,2,0.0
"Art, Aesthetics, and Perception",2,0.0
"Art, Politics, and Modernism",2,0.0
Linguistic Education and Pedagogy,2,0.0
Health and Education Studies,2,0.0
Gyrotron and Vacuum Electronics Research,2,0.0
"HIV, TB, and STIs Epidemiology",2,0.0
Immunotoxicology and immune responses,2,0.0
International Law and Aviation,2,0.0
Growth and nutrition in plants,2,0.0
Guidance and Control Systems,2,0.0
Subtitles and Audiovisual Media,2,0.0
Scottish History and National Identity,2,0.0
Classical Antiquity Studies,2,0.0
Classical Studies and Legal History,2,0.0
"Security, Politics, and Digital Transformation",2,0.0
Seismic Performance and Analysis,2,0.0
Seismic and Structural Analysis of Tall Buildings,2,0.0
Chinese history and philosophy,2,0.0
Christian Theology and Mission,2,0.0
Flow Measurement and Analysis,2,0.0
Flowering Plant Growth and Cultivation,2,0.0
Financial Analysis and Corporate Governance,2,0.0
Power Systems Fault Detection,2,0.0
Digital Media and Visual Art,2,0.0
Pharmacology and Nanomedicine Research,2,0.0
Indigenous Knowledge Systems and Agriculture,2,0.0
Athletic Training and Education,2,0.0
Attention Economy in Education and Business,2,0.0
Granular flow and fluidized beds,2,0.0
Methodology and Impact of Social Science Research,2,0.0
Stuttering Research and Treatment,2,0.0
"Feminism, Gender, and Sexuality Studies",2,0.0
Feminist Theory and Gender Studies,2,0.0
Fisheries and Aquaculture Studies,2,0.0
Flannery O'Connor and Thomas Merton,2,0.0
Chemistry and Stereochemistry Studies,2,0.0
Narrative Theory and Analysis,2,0.0
Natural Compound Pharmacology Studies,2,0.0
Aviation Industry Analysis and Trends,2,0.0
Bamboo properties and applications,2,0.0
Global Security and Public Health,2,0.0
Microbial metabolism and enzyme function,2,0.0
Global Education Systems and Policies,2,0.0
Global Educational Reforms and Inequalities,2,0.0
Natural Resources and Economic Development,2,0.0
Foot and Ankle Surgery,2,0.0
Psychiatric care and mental health services,2,0.0
Educational Systems and Policies,2,0.0
Educational Technology and Pedagogy,2,0.0
"Bangladesh Politics, Society, and Development",2,0.0
Space Exploration and Technology,2,0.0
Spacecraft Design and Technology,2,0.0
Blood donation and transfusion practices,2,0.0
Spatial Cognition and Navigation,2,0.0
Brake Systems and Friction Analysis,2,0.0
South Asian Cinema and Culture,2,0.0
"Education, Philosophy, and Society",2,0.0
"Education, Sociology, Communication Studies",2,0.0
Educational Assessment and Pedagogy,2,0.0
Digital Image Processing Techniques,2,0.0
Problem Solving Skills Development,2,0.0
Islamic Studies and History,2,0.0
"Folklore, Mythology, and Literature Studies",2,0.0
Freedom of Expression and Defamation,2,0.0
International Science and Diplomacy,2,0.0
Intestinal Malrotation and Obstruction Disorders,2,0.0
Geometric Analysis and Curvature Flows,2,0.0
Geodetic Measurements and Engineering Structures,2,0.0
Geography Education and Pedagogy,2,0.0
Business Strategies and Innovation,2,0.0
Soil and Environmental Studies,2,0.0
Soft tissue tumors and treatment,2,0.0
"Brucella: diagnosis, epidemiology, treatment",2,0.0
Bryophyte Studies and Records,2,0.0
"Leadership, Behavior, and Decision-Making Studies",2,0.0
"Leadership, Human Resources, Global Affairs",2,0.0
Legal Systems and Judicial Processes,2,0.0
Game Theory and Voting Systems,2,0.0
Music Education and Analysis,2,0.0
Humor Studies and Applications,2,0.0
Petri Nets in System Modeling,2,0.0
Petroleum Processing and Analysis,2,0.0
Educational Management and Quality,2,0.0
Smart Grid and Power Systems,2,0.0
