primary_topic,publication_count,percentage
Advanced Control Systems Design,1,0.0
Marine Bivalve and Aquaculture Studies,1,0.0
Chemotherapy-related skin toxicity,1,0.0
Humor Studies and Applications,1,0.0
Otitis Media and Relapsing Polychondritis,1,0.0
Soft tissue tumor case studies,1,0.0
Comparative Animal Anatomy Studies,1,0.0
Educational Management and Quality,1,0.0
Philippine History and Culture,1,0.0
Down syndrome and intellectual disability research,1,0.0
Chemical and Physical Properties of Materials,1,0.0
Pregnancy-related medical research,1,0.0
Trigeminal Neuralgia and Treatments,1,0.0
Visual Culture and Art Theory,1,0.0
Digital Accessibility for Disabilities,1,0.0
Economic Growth and Fiscal Policies,1,0.0
Vector-Borne Animal Diseases,1,0.0
EU Law and Policy Analysis,1,0.0
Petri Nets in System Modeling,1,0.0
Authorship Attribution and Profiling,1,0.0
Educational Environments and Student Outcomes,1,0.0
Regulation and Compliance Studies,1,0.0
Geometry and complex manifolds,1,0.0
Pharmacology and Nanomedicine Research,1,0.0
Bioactive Compounds and Antitumor Agents,1,0.0
Phenothiazines and Benzothiazines Synthesis and Activities,1,0.0
Academic Publishing and Open Access,1,0.0
Mineralogy and Gemology Studies,1,0.0
Conservation Techniques and Studies,1,0.0
Military and Defense Studies,1,0.0
Ectopic Pregnancy Diagnosis and Management,1,0.0
Music Education and Analysis,1,0.0
VLSI and FPGA Design Techniques,1,0.0
Air Traffic Management and Optimization,1,0.0
semigroups and automata theory,1,0.0
Radioactive Decay and Measurement Techniques,1,0.0
Educational Leadership and Administration,1,0.0
"Nursing Education, Practice, and Leadership",1,0.0
Optical Polarization and Ellipsometry,1,0.0
AI-based Problem Solving and Planning,1,0.0
Urban Agriculture and Sustainability,1,0.0
Video Coding and Compression Technologies,1,0.0
Evasion and Academic Success Factors,1,0.0
Social Power and Status Dynamics,1,0.0
Psychology Research and Bibliometrics,1,0.0
Polar Research and Ecology,1,0.0
Geodetic Measurements and Engineering Structures,1,0.0
Supply Chain and Inventory Management,1,0.0
Microwave and Dielectric Measurement Techniques,1,0.0
"IPv6, Mobility, Handover, Networks, Security",1,0.0
Wireless Body Area Networks,1,0.0
Cardiac and Coronary Surgery Techniques,1,0.0
Innovations in Aquaponics and Hydroponics Systems,1,0.0
Esophageal and GI Pathology,1,0.0
Potassium and Related Disorders,1,0.0
Travel-related health issues,1,0.0
Scientific Research and Philosophical Inquiry,1,0.0
Quality of Life Measurement,1,0.0
Sociopolitical Dynamics in Nepal,1,0.0
Public Administration in Developing Nations,1,0.0
Advanced Adaptive Filtering Techniques,1,0.0
Contact Mechanics and Variational Inequalities,1,0.0
"Philosophy, Ethics, and Existentialism",1,0.0
Music Technology and Sound Studies,1,0.0
Advanced Graph Theory Research,1,0.0
"Security, Politics, and Digital Transformation",1,0.0
Invertebrate Taxonomy and Ecology,1,0.0
Island Studies and Pacific Affairs,1,0.0
Mathematical functions and polynomials,1,0.0
Credit Risk and Financial Regulations,1,0.0
Corporate Management and Leadership,1,0.0
Advanced Scientific Research Methods,1,0.0
Bioactive Compounds in Plants,1,0.0
Organometallic Compounds Synthesis and Characterization,1,0.0
Seventeenth-Century Political and Philosophical Thought,1,0.0
Phytochemistry and biological activities of Ficus species,1,0.0
Salivary Gland Tumors Diagnosis and Treatment,1,0.0
Neuroscience and Music Perception,1,0.0
Geotechnical Engineering and Analysis,1,0.0
Organ Donation and Transplantation,1,0.0
Economic Sanctions and International Relations,1,0.0
Gun Ownership and Violence Research,1,0.0
Botulinum Toxin and Related Neurological Disorders,1,0.0
Advanced Data and IoT Technologies,1,0.0
Moyamoya disease diagnosis and treatment,1,0.0
Biomarkers in Disease Mechanisms,1,0.0
Geophysical and Geoelectrical Methods,1,0.0
Dendrimers and Hyperbranched Polymers,1,0.0
Latin American Cultural Politics,1,0.0
Rural Development and Agriculture,1,0.0
Art History and Market Analysis,1,0.0
Student Stress and Coping,1,0.0
Paraoxonase enzyme and polymorphisms,1,0.0
Chemical Reactions and Mechanisms,1,0.0
Intellectual Capital and Performance Analysis,1,0.0
Synthesis and Characterization of Heterocyclic Compounds,1,0.0
Polymer Nanocomposite Synthesis and Irradiation,1,0.0
Agroforestry and silvopastoral systems,1,0.0
Sustainable Agricultural Systems Analysis,1,0.0
Competitive and Knowledge Intelligence,1,0.0
Education and Art Integration,1,0.0
Groundwater flow and contamination studies,1,0.0
Biopolymer Synthesis and Applications,1,0.0
Communication Studies and Media,1,0.0
Geological formations and processes,1,0.0
International Labor and Employment Law,1,0.0
Digital Filter Design and Implementation,1,0.0
Sports Dynamics and Biomechanics,1,0.0
Gothic Literature and Media Analysis,1,0.0
Advanced Measurement and Detection Methods,1,0.0
"Media, Gender, and Advertising",1,0.0
Medieval Literature and History,1,0.0
Medical History and Research,1,0.0
Outdoor and Experiential Education,1,0.0
Chinese history and philosophy,1,0.0
Social and Political Issues,1,0.0
Corporate Governance and Management,1,0.0
Intellectual Property and Patents,1,0.0
Medicine and Dermatology Studies History,1,0.0
Political Systems and Governance,1,0.0
Seismic Performance and Analysis,1,0.0
Toxin Mechanisms and Immunotoxins,1,0.0
Academic Freedom and Politics,1,0.0
Carcinogens and Genotoxicity Assessment,1,0.0
Public-Private Partnership Projects,1,0.0
Clinical Laboratory Practices and Quality Control,1,0.0
Nuclear Receptors and Signaling,1,0.0
Hydrogen's biological and therapeutic effects,1,0.0
Polymer crystallization and properties,1,0.0
Bone and Joint Diseases,1,0.0
Image Processing Techniques and Applications,1,0.0
Artificial Intelligence in Education,1,0.0
Phytochemicals and Medicinal Plants,1,0.0
Constructed Wetlands for Wastewater Treatment,1,0.0
Education and Digital Technologies,1,0.0
Cryptography and Residue Arithmetic,1,0.0
Islamic Studies and Radicalism,1,0.0
Environmental Chemistry and Analysis,1,0.0
Marine Invertebrate Physiology and Ecology,1,0.0
Structural Analysis of Composite Materials,1,0.0
Social Issues and Policies in Latin America,1,0.0
Aldose Reductase and Taurine,1,0.0
Adult and Continuing Education Topics,1,0.0
Pleural and Pulmonary Diseases,1,0.0
Forest Ecology and Biodiversity Studies,1,0.0
Spatial and Cultural Studies,1,0.0
Educational Leadership and Innovation,1,0.0
Rough Sets and Fuzzy Logic,1,0.0
Sustainability and Ecological Systems Analysis,1,0.0
Economic Issues in Ukraine,1,0.0
Education in Diverse Contexts,1,0.0
Health and Medical Education,1,0.0
Power Transformer Diagnostics and Insulation,1,0.0
Lower Extremity Biomechanics and Pathologies,1,0.0
Child Development and Education,1,0.0
Earthquake and Disaster Impact Studies,1,0.0
Advanced Computational Techniques in Science and Engineering,1,0.0
European and International Contract Law,1,0.0
Global Socioeconomic and Political Dynamics,1,0.0
Agriculture and Agroindustry Studies,1,0.0
Asphalt Pavement Performance Evaluation,1,0.0
Sociopolitical Dynamics in Russia,1,0.0
Metal Forming Simulation Techniques,1,0.0
"Media, Communication, and Education",1,0.0
South Asian Studies and Conflicts,1,0.0
Body Image and Dysmorphia Studies,1,0.0
Memory Processes and Influences,1,0.0
Vascular Malformations Diagnosis and Treatment,1,0.0
Ancient Mediterranean Archaeology and History,1,0.0
Historical Studies and Socio-cultural Analysis,1,0.0
Stochastic processes and financial applications,1,0.0
Archaeological Research and Protection,1,0.0
South Asian Studies and Diaspora,1,0.0
Spinal Fractures and Fixation Techniques,1,0.0
Australian Indigenous Culture and History,1,0.0
Spinal Dysraphism and Malformations,1,0.0
Soil and Environmental Studies,1,0.0
Values and Moral Education,1,0.0
Flowering Plant Growth and Cultivation,1,0.0
Nursing Roles and Practices,1,0.0
Industrial Automation and Control Systems,1,0.0
Quinazolinone synthesis and applications,1,0.0
Facial Nerve Paralysis Treatment and Research,1,0.0
"Logic, programming, and type systems",1,0.0
Cerebral Venous Sinus Thrombosis,1,0.0
Adsorption and Cooling Systems,1,0.0
Shoulder Injury and Treatment,1,0.0
Hospitality and Tourism Education,1,0.0
Survey Sampling and Estimation Techniques,1,0.0
Boron Compounds in Chemistry,1,0.0
Lepidoptera: Biology and Taxonomy,1,0.0
Census and Population Estimation,1,0.0
Medical History and Innovations,1,0.0
Mining Techniques and Economics,1,0.0
Composite Structure Analysis and Optimization,1,0.0
Optimization and Packing Problems,1,0.0
Cardiac tumors and thrombi,1,0.0
Fashion and Cultural Textiles,1,0.0
Medical Imaging and Analysis,1,0.0
Advanced Wireless Network Optimization,1,0.0
Cancer and Skin Lesions,1,0.0
Coconut Research and Applications,1,0.0
Cyclone Separators and Fluid Dynamics,1,0.0
Smart Materials for Construction,1,0.0
Real-Time Systems Scheduling,1,0.0
Health and Medical Studies,1,0.0
Corporate Identity and Reputation,1,0.0
Diverse Industrial Engineering Technologies,1,0.0
Metal Alloys Wear and Properties,1,0.0
Biological Control of Invasive Species,1,0.0
Electrostatic Discharge in Electronics,1,0.0
Natural Compound Pharmacology Studies,1,0.0
Physics and Engineering Research Articles,1,0.0
Islamic Finance and Banking Studies,1,0.0
Chromatography in Natural Products,1,0.0
Chemical Reaction Mechanisms,1,0.0
Classical Antiquity Studies,1,0.0
Sesame and Sesamin Research,1,0.0
"Graphite, nuclear technology, radiation studies",1,0.0
Politics and Society in Latin America,1,0.0
Educational Strategies and Epistemologies,1,0.0
Water Resource Management and Quality,1,0.0
Conferences and Exhibitions Management,1,0.0
Maritime Ports and Logistics,1,0.0
Safety Systems Engineering in Autonomy,1,0.0
Structural Response to Dynamic Loads,1,0.0
Psidium guajava Extracts and Applications,1,0.0
Teleoperation and Haptic Systems,1,0.0
Theology and Philosophy of Evil,1,0.0
Critical Theory and Political Philosophy,1,0.0
Environmental Science and Technology,1,0.0
Sesquiterpenes and Asteraceae Studies,1,0.0
Vehicle Dynamics and Control Systems,1,0.0
"Swearing, Euphemism, Multilingualism",1,0.0
Elasticity and Material Modeling,1,0.0
Chemical and Environmental Engineering Research,1,0.0
Fluid Dynamics and Mixing,1,0.0
Rangeland and Wildlife Management,1,0.0
Heusler alloys: electronic and magnetic properties,1,0.0
Legal Issues in South Africa,1,0.0
Chemical synthesis and alkaloids,1,0.0
"Migration, Aging, and Tourism Studies",1,0.0
Differential Equations and Numerical Methods,1,0.0
Beetle Biology and Toxicology Studies,1,0.0
Indian and Buddhist Studies,1,0.0
Education Methods and Technologies,1,0.0
Metallurgy and Material Science,1,0.0
"Politics and Conflicts in Afghanistan, Pakistan, and Middle East",1,0.0
Ancient Near East History,1,0.0
Scottish History and National Identity,1,0.0
Diverse Research and Applications,1,0.0
Asian Culture and Media Studies,1,0.0
Cinema and Media Studies,1,0.0
Historical and Religious Studies of Rome,1,0.0
Classical Studies and Legal History,1,0.0
Political and Social Issues,1,0.0
Field-Flow Fractionation Techniques,1,0.0
Soviet and Russian History,1,0.0
Dispute Resolution and Class Actions,1,0.0
"Shakespeare, Adaptation, and Literary Criticism",1,0.0
European Politics and Security,1,0.0
Agriculture and Biological Studies,1,0.0
"Historical, Religious, and Philosophical Studies",1,0.0
Lymphatic System and Diseases,1,0.0
Welding Techniques and Residual Stresses,1,0.0
Sexual Assault and Victimization Studies,1,0.0
Chemical Synthesis and Reactions,1,0.0
Mathematical and Theoretical Analysis,1,0.0
Innovations and Analysis in Business and Education,1,0.0
Science and Science Education,1,0.0
Service-Oriented Architecture and Web Services,1,0.0
Agricultural Systems and Practices,1,0.0
Sports and Physical Education Studies,1,0.0
E-commerce and Technology Innovations,1,0.0
Surface Roughness and Optical Measurements,1,0.0
Materials Engineering and Processing,1,0.0
Engineering Education and Curriculum Development,1,0.0
Growth Hormone and Insulin-like Growth Factors,1,0.0
Near-Field Optical Microscopy,1,0.0
Patient Dignity and Privacy,1,0.0
Tailings Management and Properties,1,0.0
Legal case studies and regulations,1,0.0
"Grouting, Rheology, and Soil Mechanics",1,0.0
Geological and Geophysical Studies Worldwide,1,0.0
Thermal Analysis in Power Transmission,1,0.0
Digitalization and Economic Development in Agriculture,1,0.0
Agricultural Development and Management,1,0.0
Heat Transfer and Boiling Studies,1,0.0
Electron Spin Resonance Studies,1,0.0
Myofascial pain diagnosis and treatment,1,0.0
Telecommunications and Broadcasting Technologies,1,0.0
Building materials and conservation,1,0.0
High voltage insulation and dielectric phenomena,1,0.0
Electromagnetic Effects on Materials,1,0.0
Advanced Measurement and Metrology Techniques,1,0.0
Magnetic and Electromagnetic Effects,1,0.0
Literacy and Educational Practices,1,0.0
IoT and GPS-based Vehicle Safety Systems,1,0.0
Molecular Spectroscopy and Structure,1,0.0
Medical and Health Sciences Research,1,0.0
Phosphodiesterase function and regulation,1,0.0
Space exploration and regulation,1,0.0
Ergonomics and Musculoskeletal Disorders,1,0.0
Electrical Contact Performance and Analysis,1,0.0
Architectural and Urban Studies,1,0.0
Abdominal vascular conditions and treatments,1,0.0
Developmental and Educational Neuropsychology,1,0.0
Engineering Technology and Methodologies,1,0.0
International Relations in Latin America,1,0.0
Education for Peace and Conflict Resolution,1,0.0
Knowledge Societies in the 21st Century,1,0.0
Mathematics Education and Programs,1,0.0
Fusion materials and technologies,1,0.0
Subtitles and Audiovisual Media,1,0.0
Service-Learning and Community Engagement,1,0.0
Advanced Computational Techniques and Applications,1,0.0
Peer-to-Peer Network Technologies,1,0.0
Augustinian Studies and Theology,1,0.0
German Literature and Culture Studies,1,0.0
German Social Sciences and History,1,0.0
Diptera species taxonomy and behavior,1,0.0
Romani and Gypsy Studies,1,0.0
Algebraic structures and combinatorial models,1,0.0
Healthcare during COVID-19 Pandemic,1,0.0
Concrete Properties and Behavior,1,0.0
"Logic, Reasoning, and Knowledge",1,0.0
